School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
COOPER ELEMENTARY,2015-16,532,89.8,8.8,1.9,6.6,0.6,0,6.2,6.2,6,5.5,4.9,7.7,478,47,10,35,3,0,33,33,32,29,26,41,Y,SPOKANE SCHOOL DISTRICT,3200 N FERRALL ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
CORDATA ELEMENTARY SCHOOL,2015-16,402,91,5.2,2.2,3.2,0,0,4,4,4,4,3.2,5,366,21,9,13,0,0,16,16,16,16,13,20,Y,BELLINGHAM SCHOOL DISTRICT,4420 ALDRICH RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
CORNERSTONE ACADEMY,2015-16,55,56.4,16.4,1.8,12.7,0,1.8,10.9,10.9,10.9,12.7,12.7,16.4,31,9,1,7,0,1,6,6,6,7,7,9,Y,MONROE SCHOOL DISTRICT,14377 FRYELANDS BLVD SE,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-7,Y,Y
CORNERSTONE CHRISTIAN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,4224 E 4TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2015-16,106,66,6.6,0,6.6,0,0,6.6,6.6,6.6,6.6,6.6,677.4,70,7,0,7,0,0,7,7,7,7,7,718,Y,OLYMPIA SCHOOL DISTRICT,5501 WIGGINS RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
CORNERSTONE CHRISTIAN SCHOOL,2015-16,121,99.2,0.8,0,0,0.8,0,0,0,0.8,0,0.8,0.8,120,1,0,0,1,0,0,0,1,0,1,1,Y,LYNDEN SCHOOL DISTRICT,8872 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,1-12,N,Y
CORNERSTONE CHRISTIAN SCHOOL,2015-16,279,87.8,8.2,0.4,7.5,0.4,0,7.5,7.5,8.2,7.5,7.5,8.2,245,23,1,21,1,0,21,21,23,21,21,23,Y,EVERGREEN SCHOOL DISTRICT (CLARK),7708 NE 78TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y
COSMOPOLIS ELEMENTARY SCHOOL,2015-16,144,81.3,4.9,0.7,2.8,0.7,0.7,3.5,3.5,4.2,4.2,2.8,4.2,117,7,1,4,1,1,5,5,6,6,4,6,Y,COSMOPOLIS SCHOOL DISTRICT,216 S. 11TH ST.,COSMOPOLIS,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
COTTAGE LAKE ELEMENTARY,2015-16,356,92.7,6.5,0.3,6.2,0,0,3.9,3.9,4.8,4.5,3.9,6.2,330,23,1,22,0,0,14,14,17,16,14,22,Y,NORTHSHORE SCHOOL DISTRICT,15940 AVONDALE RD NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
COTTONWOOD ELEMENTARY,2015-16,717,96.1,3.5,1.1,2.1,0.3,0,2.2,2.2,1.8,2.4,2.2,2.8,689,25,8,15,2,0,16,16,13,17,16,20,Y,KENNEWICK SCHOOL DISTRICT,16734 S. COTTONWOOD CREEK BLVD.,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COTTONWOOD ELEMENTARY SCHOOL,2015-16,406,96.1,1.7,0.2,1.5,0,0,1,1,1.2,1.2,1,1.7,390,7,1,6,0,0,4,4,5,5,4,7,Y,CENTRAL KITSAP SCHOOL DISTRICT,330 NE FOSTER ROAD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COTTONWOOD ELEMENTARY SCHOOL,2015-16,436,92.4,1.4,0.7,0.7,0,0,0.2,0.2,0.2,0.2,0.5,1.4,403,6,3,3,0,0,1,1,1,1,2,6,Y,WEST VALLEY SCHOOL DISTRICT (YAKIMA),1041 S 96TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
COUGAR CREEK ELEMENTARY SCHOOL,2015-16,357,92.2,7,2,4.2,0.6,0.6,4.5,4.5,5,4.2,4.2,6.4,329,25,7,15,2,2,16,16,18,15,15,23,Y,LAKEWOOD SCHOOL DISTRICT,P.O. BOX 128,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
COUGAR MOUNTAIN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,ISSAQUAH SCHOOL DISTRICT,5410 194TH AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
COUGAR MOUNTAIN MIDDLE SCHOOL,2015-16,575,88.2,3.3,0.9,2.3,0,0.2,1.6,1.4,0.9,0.7,0.7,2.4,507,19,5,13,0,1,9,8,5,4,4,14,Y,BETHEL SCHOOL DISTRICT,5108 260TH ST E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
COUGAR RIDGE ELEMENTARY,2015-16,595,97.1,2.4,0.3,2,0.2,0,1.3,1.2,1.5,1.5,1.8,1.7,578,14,2,12,1,0,8,7,9,9,11,10,Y,ISSAQUAH SCHOOL DISTRICT,4630 167TH AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COUGAR VALLEY ELEMENTARY,2015-16,541,95.6,2,0.4,1.7,0,0,1.5,1.5,1.5,1.5,1.5,1.7,517,11,2,9,0,0,8,8,8,8,8,9,Y,CENTRAL KITSAP SCHOOL DISTRICT,13200 OLYMPIC VIEW RD NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
COULEE CITY ELEMENTARY,2015-16,89,92.1,7.9,1.1,6.7,1.1,0,6.7,6.7,6.7,6.7,5.6,5.6,82,7,1,6,1,0,6,6,6,6,5,5,Y,COULEE-HARTLINE SCHOOL DISTRICT,410 W LOCUST,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COUNTRY HAVEN ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,PASCO SCHOOL DISTRICT,510 COUNTRY HAVEN LP,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COUNTRYSIDE MONTESSORI SCHOOL,2015-16,6,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,13630 100TH AVE NE BLDG 2,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
COUNTRYSIDE SDA ELEMENTARY,2015-16,6,83.3,16.7,16.7,0,0,0,16.7,16.7,16.7,16.7,16.7,16.7,5,1,1,0,0,0,1,1,1,1,1,1,Y,REARDAN-EDWALL SCHOOL DISTRICT,12107 W SEVEN MILE RD,SPOKANE,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,1-8,N,Y
COUPEVILLE ELEMENTARY SCHOOL,2015-16,407,90.7,5.7,1.2,3.9,0.5,0.2,2.9,2.9,2.9,3.7,3.7,4.7,369,23,5,16,2,1,12,12,12,15,15,19,Y,COUPEVILLE SCHOOL DISTRICT,6 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COUPEVILLE HIGH SCHOOL,2015-16,321,87.9,10.9,1.2,9.3,0.6,0,7.5,5.9,4.7,5,5.3,0,282,35,4,30,2,0,24,19,15,16,17,0,Y,COUPEVILLE SCHOOL DISTRICT,501 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
COUPEVILLE MIDDLE SCHOOL,2015-16,234,76.5,15.8,3,12.8,0,0.4,7.3,5.6,6.8,6,8.1,10.7,179,37,7,30,0,1,17,13,16,14,19,25,Y,COUPEVILLE SCHOOL DISTRICT,501 SOUTH MAIN,COUPEVILLE,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
COVENANT CHRISTIAN SCHOOL,2015-16,30,80,20,0,0,20,0,20,20,20,20,20,20,24,6,0,0,6,0,6,6,6,6,6,6,Y,LYNDEN SCHOOL DISTRICT,9088 NORTHWOOD RD,LYNDEN,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,Y,Y
COVENANT HIGH SCHOOL,2015-16,105,89.5,10.5,0,9.5,1,0,10.5,10.5,10.5,10.5,10.5,10.5,94,11,0,10,1,0,11,11,11,11,11,11,Y,TACOMA SCHOOL DISTRICT,620 S SHIRLEY ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
COVINGTON ELEMENTARY SCHOOL,2015-16,487,88.3,3.9,0.6,3.3,0,0,2.9,2.9,3.3,3.1,1.8,3.3,430,19,3,16,0,0,14,14,16,15,9,16,Y,KENT SCHOOL DISTRICT,17070 SE WAX ROAD,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COVINGTON MIDDLE SCHOOL,2015-16,1030,26.8,6.5,0.7,5.5,0.4,0.1,5.1,5.1,4.6,4.4,4.3,5.9,276,67,7,57,4,1,53,53,47,45,44,61,Y,EVERGREEN SCHOOL DISTRICT (CLARK),11200 NE ROSEWOOD RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
COWEEMAN MIDDLE SCHOOL,2015-16,563,95.2,3.2,0.2,2.8,0.2,0.2,2.3,2.1,2.1,2.5,1.4,2.3,536,18,1,16,1,1,13,12,12,14,8,13,Y,KELSO SCHOOL DISTRICT,2000 ALLEN ST,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
COWLITZ PRAIRIE ACADEMY (TOLEDO ALTERNATIVE OPTIONS),2015-16,42,78.6,2.4,0,2.4,0,0,0,0,0,2.4,0,0,33,1,0,1,0,0,0,0,0,1,0,0,Y,TOLEDO SCHOOL DISTRICT,PO BOX 469,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N
COWLITZ SCHOOL AT THE CONFLUENCE,2015-16,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Y,WHITE PASS SCHOOL DISTRICT,408 A CRAIG RD,PACKWOOD,LEWIS,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
CREATIVE MONTESSORI,2015-16,5,60,40,0,40,0,0,0,0,20,20,40,20,3,2,0,2,0,0,0,0,1,1,2,1,Y,NORTHSHORE SCHOOL DISTRICT,14944 JUANITA DR NE,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K,Y,N
CREEKSIDE ELEMENTARY,2015-16,718,95.7,3.1,0.6,2.5,0,0,1.9,1.9,2.1,2.1,2.2,2.5,687,22,4,18,0,0,14,14,15,15,16,18,Y,ISSAQUAH SCHOOL DISTRICT,20777 SE 16TH ST.,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESCENT HARBOR ELEM,2015-16,542,96.5,2.4,0.7,1.7,0,0,2,2,2,2,2,2.2,523,13,4,9,0,0,11,11,11,11,11,12,Y,OAK HARBOR SCHOOL DISTRICT,330 E. CRESCENT HARBOR RD.,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
CRESCENT HEIGHTS ELEMENTARY SCHOOL,2015-16,498,91.8,4.2,1.2,2.4,0.2,0.4,3.4,3.4,3.6,4,2.6,3.8,457,21,6,12,1,2,17,17,18,20,13,19,Y,TACOMA SCHOOL DISTRICT,4110 NASSAU AVE NE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESCENT SCHOOL,2015-16,204,82.8,9.8,1.5,6.9,1.5,0,7.4,5.9,6.4,7.8,6.4,4.9,169,20,3,14,3,0,15,12,13,16,13,10,Y,CRESCENT SCHOOL DISTRICT,50350 HWY 112,JOYCE,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y
CRESTLINE ELEMENTARY SCHOOL,2015-16,480,79.2,4,0.6,2.7,0.2,0.4,3.1,3.1,3.3,4,3.3,3.8,380,19,3,13,1,2,15,15,16,19,16,18,Y,EVERGREEN SCHOOL DISTRICT (CLARK),13003 SE SEVENTH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
CRESTON ELEMENTARY,2015-16,37,94.6,5.4,0,5.4,0,0,0,0,0,0,0,5.4,35,2,0,2,0,0,0,0,0,0,0,2,Y,CRESTON SCHOOL DISTRICT,PO BOX 17,CRESTON,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
CRESTON JR-SR HIGH SCHOOL,2015-16,51,92.2,5.9,0,5.9,0,0,0,0,0,0,0,5.9,47,3,0,3,0,0,0,0,0,0,0,3,Y,CRESTON SCHOOL DISTRICT,PO BOX 17,CRESTON,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
CRESTVIEW CHRISTIAN SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,MOSES LAKE SCHOOL DISTRICT,1601 W VALLEY RD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-9,Y,Y
CRESTWOOD ELEMENTARY,2015-16,424,92.9,6.8,1.7,5.4,0.2,0,4.7,4.7,4.7,4.7,3.8,5.4,394,29,7,23,1,0,20,20,20,20,16,23,Y,SUMNER SCHOOL DISTRICT,3914 W TAPPS DR E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CRESTWOOD ELEMENTARY SCHOOL,2015-16,487,90.3,5.7,0.8,4.7,0.4,0,5.1,4.9,4.9,5.1,3.9,5.3,440,28,4,23,2,0,25,24,24,25,19,26,Y,KENT SCHOOL DISTRICT,25225 180TH AVE SE,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CROSSPOINT CHRISTIAN SCHOOL,2015-16,307,92.8,4.6,1,2.9,0.7,0,2.9,2.9,2.9,0.3,3.3,3.6,285,14,3,9,2,0,9,9,9,1,10,11,Y,CENTRAL KITSAP SCHOOL DISTRICT,4012 CHICO WAY NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K-12,Y,Y
CROSSROADS HIGH SCHOOL,2015-16,156,92.3,3.8,0,3.8,0,0,3.2,1.3,3.2,2.6,3.8,0,144,6,0,6,0,0,5,2,5,4,6,0,Y,GRANITE FALLS SCHOOL DISTRICT,307 NORTH ALDER AVENUE,GRANITE FALLS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CROWNHILL ELEMENTARY SCHOOL,2015-16,433,90.5,2.8,0.5,2.3,0,0,2.3,2.3,2.3,2.3,2.3,2.3,392,12,2,10,0,0,10,10,10,10,10,10,Y,BREMERTON SCHOOL DISTRICT,1500 ROCKY POINT RD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
CRYSTAL SPRINGS ELEMENTARY,2015-16,679,95.3,3.8,1.5,2.5,0,0,1.5,1.5,2.1,2.4,1.5,2.7,647,26,10,17,0,0,10,10,14,16,10,18,Y,NORTHSHORE SCHOOL DISTRICT,21615 9 AV SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CURLEW ELEM & HIGH SCHOOL,2015-16,169,68,23.1,4.1,14.2,5.3,0,13,12.4,11.2,12.4,11.2,15.4,115,39,7,24,9,0,22,21,19,21,19,26,Y,CURLEW SCHOOL DISTRICT,PO BOX 370,CURLEW,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -12,Y,Y
CURTIS JUNIOR HIGH,2015-16,981,89.4,4.5,1.2,2.7,0.5,0.1,2.9,2.4,2.4,2.2,2.9,1.1,877,44,12,26,5,1,28,24,24,22,28,11,Y,UNIVERSITY PLACE SCHOOL DISTRICT,8901 40TH ST W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
CURTIS SENIOR HIGH,2015-16,1445,95.5,3.7,0.3,2.8,0.6,0,2.6,2.1,2.4,2,2.3,0,1380,53,5,40,8,0,38,31,34,29,33,0,Y,UNIVERSITY PLACE SCHOOL DISTRICT,8425 40TH W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-13,N,N
CUSICK JR SR HIGH SCHOOL,2015-16,144,82.6,15.3,0.7,12.5,2.1,0,7.6,7.6,3.5,4.9,3.5,10.4,119,22,1,18,3,0,11,11,5,7,5,15,Y,CUSICK SCHOOL DISTRICT,305 MONUMENTAL WAY,CUSICK,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
CUSTER ELEM,2015-16,337,88.1,10.1,0.9,8.9,0.3,0,7.4,7.4,7.1,8,8,8.9,297,34,3,30,1,0,25,25,24,27,27,30,Y,FERNDALE SCHOOL DISTRICT,7660 CUSTER SCHOOL ROAD,CUSTER,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
CUSTER ELEMENTARY SCHOOL,2015-16,284,97.2,2.5,1.4,1.1,0,0,1.4,1.4,2.1,1.8,0.7,1.4,276,7,4,3,0,0,4,4,6,5,2,4,Y,CLOVER PARK SCHOOL DISTRICT,7801 STEILACOOM BLVD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CYPRESS ADVENTIST SCHOOL,2015-16,35,91.4,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,21500 CYPRESS WAY,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
DAFFODIL VALLEY ELEMENTARY,2015-16,540,94.4,3.1,0.9,1.7,0.6,0,1.7,1.7,2.2,2,1.9,2.4,510,17,5,9,3,0,9,9,12,11,10,13,Y,SUMNER SCHOOL DISTRICT,1509 VALLEY AVENUE,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
DALLESPORT ELEMENTARY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,LYLE SCHOOL DISTRICT,P.O. BOX 529,DALLESPORT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y
DAMMAN ELEMENTARY,2015-16,39,82.1,17.9,0,17.9,0,0,10.3,10.3,12.8,12.8,10.3,17.9,32,7,0,7,0,0,4,4,5,5,4,7,Y,DAMMAN SCHOOL DISTRICT,3600 UMPTANUM RD.,ELLENSBURG,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
DANIEL BAGLEY ELEMENTARY SCHOOL,2015-16,429,84.8,8.4,3.5,6.3,0.5,0,5.4,5.4,4.9,5.8,7.5,7.5,364,36,15,27,2,0,23,23,21,25,32,32,Y,SEATTLE PUBLIC SCHOOLS,7821 STONE AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
DARRINGTON ELEMENTARY SCHOOL,2015-16,292,91.1,6.5,1.7,5.1,0,0,3.8,3.8,2.7,3.4,3.4,5.5,266,19,5,15,0,0,11,11,8,10,10,16,Y,DARRINGTON SCHOOL DISTRICT,PO BOX 27,DARRINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-6,Y,Y
DARRINGTON SR HIGH SCHOOL,2015-16,133,94,4.5,1.5,3,0,0,3,3,1.5,0.8,1.5,0,125,6,2,4,0,0,4,4,2,1,2,0,Y,DARRINGTON SCHOOL DISTRICT,PO BOX 27,DARRINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
DARTMOOR SCHOOL--BELLEVUE,2015-16,6,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,13401 BEL RED ROAD,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DARTMOOR SCHOOL--ISSAQUAH,2015-16,4,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,22500 SE 64TH PL  #130,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DARTMOOR SCHOOL--SEATTLE,2015-16,3,66.7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,9618 ROOSEVELT WAY NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DARTMOOR SCHOOL--WOODINVILLE,2015-16,4,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,17305 139TH AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-12,N,Y
DAVENPORT ELEMENTARY,2015-16,265,85.3,5.7,0.8,4.5,0.4,0,3,3,3.4,3,1.5,5.7,226,15,2,12,1,0,8,8,9,8,4,15,Y,DAVENPORT SCHOOL DISTRICT,1101 7TH STREET,DAVENPORT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
DAVENPORT SENIOR HIGH SCHOOL,2015-16,284,84.5,4.6,0.7,3.5,0.4,0,3.2,2.1,3.2,3.5,2.5,1.8,240,13,2,10,1,0,9,6,9,10,7,5,Y,DAVENPORT SCHOOL DISTRICT,801 7TH STREET,DAVENPORT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,6-12,N,Y
DAVID T. DENNY INTERNATIONAL SCHOOL,2015-16,849,77,6.5,2.8,4.4,0.5,0.1,2.7,2.7,2.9,2.6,3.4,5.9,654,55,24,37,4,1,23,23,25,22,29,50,Y,SEATTLE PUBLIC SCHOOLS,8402 30 AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
DAVID WOLFLE ELEMENTARY,2015-16,346,91.9,6.9,1.7,4.6,0.6,0,4.3,3.8,3.5,4.3,5.2,4,318,24,6,16,2,0,15,13,12,15,18,14,Y,NORTH KITSAP SCHOOL DISTRICT,27089 HIGHLAND RD NE,KINGSTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-5,Y,N
DAVIS ELEMENTARY,2015-16,649,91.2,5.7,0.9,4.2,0.8,0.2,3.7,3.7,3.9,4,3.7,4.8,592,37,6,27,5,1,24,24,25,26,24,31,Y,COLLEGE PLACE SCHOOL DISTRICT,31 SE ASH STREET,COLLEGE PLACE,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-3,Y,N
DAVIS HIGH SCHOOL,2015-16,2168,98.4,1.1,0.2,0.8,0.1,0,0.7,0.7,0.8,0.5,0.5,0,2134,23,4,18,2,0,16,15,18,11,11,0,Y,YAKIMA SCHOOL DISTRICT,212 S 6TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
DAY REPORTING SCHOOL,2015-16,20,75,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,5501 6TH AVENUE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
DAYBREAK MIDDLE,2015-16,492,82.5,10.4,1.2,7.5,1.8,0,7.5,7.3,7.5,6.3,5.9,8.9,406,51,6,37,9,0,37,36,37,31,29,44,Y,BATTLE GROUND SCHOOL DISTRICT,1900 NW 20TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
DAYBREAK PRIMARY,2015-16,547,82.8,10.6,1.3,8.6,0.7,0,7.9,7.9,8.8,8.4,8.2,9.9,453,58,7,47,4,0,43,43,48,46,45,54,Y,BATTLE GROUND SCHOOL DISTRICT,1900 NW 20TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-4,Y,N
DAYTON ELEMENTARY SCHOOL,2015-16,180,81.7,5.6,2.2,2.8,0.6,0,5,4.4,3.9,3.9,4.4,3.9,147,10,4,5,1,0,9,8,7,7,8,7,Y,DAYTON SCHOOL DISTRICT,302 E PARK,DAYTON,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y
DAYTON HIGH SCHOOL,2015-16,145,90.3,2.1,0,2.1,0,0,1.4,0.7,1.4,1.4,1.4,0,131,3,0,3,0,0,2,1,2,2,2,0,Y,DAYTON SCHOOL DISTRICT,614 S THIRD STREET,DAYTON,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
DAYTON MIDDLE SCHOOL,2015-16,74,55.4,5.4,1.4,4.1,0,0,4.1,2.7,5.4,4.1,4.1,5.4,41,4,1,3,0,0,3,2,4,3,3,4,Y,DAYTON SCHOOL DISTRICT,609 S SECOND STREET,DAYTON,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,7-8,N,N
DEARBORN PARK ELEMENTARY SCHOOL,2015-16,368,84.5,1.6,1.4,1.1,0,0,0.3,0.3,0.8,0.8,0.5,1.6,311,6,5,4,0,0,1,1,3,3,2,6,Y,SEATTLE PUBLIC SCHOOLS,2820 S ORCAS ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
DECATUR ELEMENTARY,2015-16,2,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Y,LOPEZ SCHOOL DISTRICT,DECATUR ISLAND,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
