School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
BONNEY LAKE ELEMENTARY,2015-16,525,93.7,3.2,0.4,2.9,0.2,0,2.5,2.5,2.3,2.3,2.5,2.9,492,17,2,15,1,0,13,13,12,12,13,15,Y,SUMNER SCHOOL DISTRICT,18715 80TH ST E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BONNEY LAKE HIGH SCHOOL,2015-16,1319,94.2,5.4,0.4,4.6,0.5,0,3.8,3,3.1,2.8,3.1,0,1242,71,5,61,6,0,50,40,41,37,41,0,Y,SUMNER SCHOOL DISTRICT,10920 199TH AVE CT E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
BORDEAUX ELEMENTARY SCHOOL,2015-16,566,94.7,4.8,1.6,2.3,0.5,0.4,3.4,3,3.2,3.5,2.7,3.9,536,27,9,13,3,2,19,17,18,20,15,22,Y,SHELTON SCHOOL DISTRICT,350 E. UNIVERSITY AVE.,SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N
BOSTON HARBOR ELEMENTARY,2015-16,144,71.5,5.6,1.4,4.2,0,0,2.8,1.4,1.4,3.5,2.8,3.5,103,8,2,6,0,0,4,2,2,5,4,5,Y,OLYMPIA SCHOOL DISTRICT,7300 ZANGLE RD NE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
BOTHELL HIGH SCHOOL,2015-16,1652,91.3,3.4,0.5,2.5,0.2,0.1,2.7,2.7,2.5,2.2,2.5,0.2,1508,56,9,42,3,2,45,45,41,36,42,3,Y,NORTHSHORE SCHOOL DISTRICT,9130 NE 180 ST,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N
BOW LAKE ELEMENTARY,2015-16,743,86.9,0.7,0.3,0.3,0.1,0,0.7,0.5,0.5,0.7,0.5,0.5,646,5,2,2,1,0,5,4,4,5,4,4,Y,HIGHLINE SCHOOL DISTRICT,18237 42ND AVE S,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
BOWDISH MIDDLE SCHOOL,2015-16,511,87.1,5.3,0.4,5.1,0,0,3.9,2.9,2.9,2.9,2.3,3.5,445,27,2,26,0,0,20,15,15,15,12,18,Y,CENTRAL VALLEY SCHOOL DISTRICT,2109 S SKIPWORTH ROAD,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
BOZE,2015-16,377,85.1,1.6,0.5,0.3,0.3,0.5,1.1,1.1,1.1,0.8,0.5,1.3,321,6,2,1,1,2,4,4,4,3,2,5,Y,TACOMA SCHOOL DISTRICT,1140 E 65TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BREMERTON HIGH SCHOOL,2015-16,1236,90.7,5,0.7,4.2,0.3,0.1,4.1,3.5,2.3,1.9,1.9,0,1121,62,9,52,4,1,51,43,28,24,24,0,Y,BREMERTON SCHOOL DISTRICT,1500 13TH STREET,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
BRENTWOOD ELEMENTARY SCHOOL,2015-16,531,84.9,8.1,0,7.9,0.2,0,4.9,4.9,4.7,5.3,4.7,8.1,451,43,0,42,1,0,26,26,25,28,25,43,Y,MEAD SCHOOL DISTRICT,406 W REGINA AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
BREWSTER ELEMENTARY SCHOOL,2015-16,489,93.3,1.2,0.2,1,0,0,0.6,0.6,0.6,0.6,0.8,0.8,456,6,1,5,0,0,3,3,3,3,4,4,Y,BREWSTER SCHOOL DISTRICT,P.O. BOX 97,BREWSTER,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,Y,Y
BREWSTER HIGH SCHOOL,2015-16,258,91.9,1.2,0,0.8,0,0.4,0.4,0.4,0.8,0.8,0.4,0,237,3,0,2,0,1,1,1,2,2,1,0,Y,BREWSTER SCHOOL DISTRICT,P.O. BOX 97,BREWSTER,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
BREWSTER JUNIOR HIGH SCHOOL,2015-16,216,84.3,0.5,0,0.5,0,0,0,0,0.5,0,0,0,182,1,0,1,0,0,0,0,1,0,0,0,Y,BREWSTER SCHOOL DISTRICT,P.O. BOX 97,BREWSTER,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-8,N,N
