School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
EVERGREEN ELEMENTARY SCHOOL,2014-15,558,87.6,0.7,0,0.7,0,0,0.5,0.5,0.5,0.5,0.7,0.5,489,4,0,4,0,0,3,3,3,3,4,3,Y,900 W. FRANKLIN ST.,SHELTON,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,,,
EVERGREEN ELEMENTARY SCHOOL,2014-15,568,91,5.3,1.2,3.9,0.2,0,2.5,2.5,3.5,2.5,2.5,4,517,30,7,22,1,0,14,14,20,14,14,23,Y,215 W EDDY,SPOKANE,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
EVERGREEN FLEX ACADEMY,2014-15,122,44.3,9.8,0.8,8.2,1.6,0,7.4,7.4,9.8,8.2,7.4,6.6,54,12,1,10,2,0,9,9,12,10,9,8,Y,13501 NE 28TH STREET,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y,,,
EVERGREEN FOREST ELEMENTARY,2014-15,507,93.1,1.8,0.6,1.2,0,0,0.8,0.8,0.8,0.8,1,1.2,472,9,3,6,0,0,4,4,4,4,5,6,Y,3025 MARVIN RD SE,LACEY,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,,
EVERGREEN HEIGHTS ELEMENTARY,2014-15,536,84,3.4,0.6,2.2,0.4,0.2,2.6,2.2,2.8,2.6,1.7,2.8,450,18,3,12,2,1,14,12,15,14,9,15,Y,5602 S 316TH ST,AUBURN,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
EVERGREEN HIGH SCHOOL,2014-15,1832,49.7,3.9,0.1,3.3,0.5,0.1,3.1,2,3.1,2.1,2.9,0,910,72,2,60,9,1,56,37,56,39,53,0,Y,14300 NE 18TH STREET,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,43355,N,N,,,
EVERGREEN LUTHERAN HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,2021 S 260TH ST,DES MOINES,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
EVERGREEN MIDDLE SCHOOL,2014-15,702,92.3,5.7,0.3,5,0,0.4,5,5,3.1,3.1,2.6,4,648,40,2,35,0,3,35,35,22,22,18,28,Y,14221 E 16TH AVENUE,SPOKANE VALLEY,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43259,N,Y,,,
EVERGREEN MIDDLE SCHOOL,2014-15,886,87,6.8,1.6,5,0.5,0.1,4,3.5,3.5,3.2,2.8,2,771,60,14,44,4,1,35,31,31,28,25,18,Y,6900 208TH AVE NE,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
EVERGREEN MIDDLE SCHOOL,2014-15,935,66.5,22.4,1.3,19.7,1.2,0.2,7.2,7.2,3.6,3.7,3.5,4.2,622,209,12,184,11,2,67,67,34,35,33,39,Y,7621 BEVERLY LN.,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,,
EVERGREEN PRIMARY,2014-15,489,86.7,4.7,2.2,2.5,0,0,3.3,3.3,3.5,3.3,3.1,4.7,424,23,11,12,0,0,16,16,17,16,15,23,Y,7102 40TH ST W,UNIVERSITY PLACE,UNIVERSITY PLACE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-4,Y,N,,,
EVERGREEN SCHOOL,2014-15,24,62.5,25,0,0,0,25,25,25,20.8,20.8,20.8,20.8,15,6,0,0,0,6,6,6,5,5,5,5,Y,3342 ADDY-GIFFORD RD,GIFFORD,EVERGREEN SCHOOL DISTRICT (STEVENS),STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
EVERGREEN SCHOOL,2014-15,410,86.8,7.6,0,7.6,0,0,3.4,3.4,4.6,4.9,6.3,5.9,356,31,0,31,0,0,14,14,19,20,26,24,Y,15201 MERIDIAN AVE N,SHORELINE,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,,,
EVERSON ELEMENTARY,2014-15,231,90.9,3.5,0.9,2.2,0.4,0,2.6,2.6,2.6,2.2,2.2,3.9,210,8,2,5,1,0,6,6,6,5,5,9,Y,216 EVERSON GOSHEN RD.,EVERSON,NOOKSACK VALLEY SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
EXCEL HIGH SCHOOL,2014-15,32,100,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,Y,400 EAST UNIVERSITY WAY,ELLENSBURG,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,43355,N,N,,,
EXCELSIOR HIGH SCHOOL,2014-15,74,93.2,4.1,0,2.7,1.4,0,2.7,1.4,1.4,2.7,1.4,0,69,3,0,2,1,0,2,1,1,2,1,0,Y,1401 39TH STREET,WASHOUGAL,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,43355,N,N,,,
EXPLORATIONS ACADEMY/GLOBAL COMMUNITY INSTITUTE,2014-15,34,88.2,11.8,0,8.8,2.9,0,11.8,11.8,11.8,11.8,11.8,11.8,30,4,0,3,1,0,4,4,4,4,4,4,Y,1701 ELLIS STREET,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43324,N,N,,,
EXPLORER ACADEMY,2014-15,221,91.4,8.6,0.5,7.2,0.9,0,5,5,5,2.3,3.6,1.8,202,19,1,16,2,0,11,11,11,5,8,4,Y,1962 HOOVER AVE SE,PORT ORCHARD,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y,,,
EXPLORER COMMUNITY SCHOOL,2014-15,72,79.2,6.9,0,6.9,0,0,4.2,2.8,2.8,4.2,5.6,6.9,57,5,0,5,0,0,3,2,2,3,4,5,Y,7040 208TH NE,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43105,N,N,,,
EXPLORER MIDDLE SCHOOL,2014-15,920,89.5,3,0.5,2.3,0.2,0,1.7,0,1.1,1.1,1.2,1.5,823,28,5,21,2,0,16,0,10,10,11,14,Y,9600 SHARON DRIVE,EVERETT,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,,
EXPLORER WEST MIDDLE SCHOOL,2014-15,91,100,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,Y,10015 28TH AVE SW,SEATTLE,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
FAIRHAVEN MIDDLE SCHOOL,2014-15,626,89.6,8.6,1.3,6.9,0.6,0.3,4.2,2.9,3.7,4.5,5.1,2.1,561,54,8,43,4,2,26,18,23,28,32,13,Y,110 PARK RIDGE RD,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,,
FAIRMOUNT ELEMENTARY,2014-15,737,92.5,4.3,1.8,2.6,0,0,2.3,0,2,2,2,3.7,682,32,13,19,0,0,17,0,15,15,15,27,Y,11401 BEVERLY PARK RD,EVERETT,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
FAIRMOUNT PARK ELEMENTARY,2014-15,737,92.5,4.3,1.8,2.6,0,0,2.3,0,2,2,2,3.7,682,32,13,19,0,0,17,0,15,15,15,27,Y,3800 SW FINDLAY ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
FAIRVIEW CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,844 NE 78TH ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,,,
FAIRVIEW JUNIOR HIGH SCHOOL,2014-15,431,96.1,2.6,0.9,1.6,0,0,1.6,1.6,0.9,1.2,1.2,0.9,414,11,4,7,0,0,7,7,4,5,5,4,Y,8107 CENTRAL VALLEY RD NW,BREMERTON,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43290,N,N,,,
FAIRWOOD ELEMENTARY SCHOOL,2014-15,443,95.7,2.7,0.7,2,0,0,1.1,1.1,1.4,1.6,1.1,2.3,424,12,3,9,0,0,5,5,6,7,5,10,Y,16600 148TH AVE SE,RENTON,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
FAITH LUTHERAN SCHOOL,2014-15,63,95.2,4.8,0,4.8,0,0,4.8,4.8,4.8,4.8,4.8,4.8,60,3,0,3,0,0,3,3,3,3,3,3,Y,113 S 96TH ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,,,
FAITH LUTHERAN SCHOOL,2014-15,92,100,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,Y,7075 PACIFIC AVE SE,LACEY,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y,,,
FAITH LUTHERAN SCHOOL OF REDMOND,2014-15,30,100,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,Y,9041 166TH AVE NE,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-4,Y,N,,,
FALL CITY ELEMENTARY,2014-15,628,92.5,6.4,1,5.4,0,0,3.8,4.1,4.8,4.3,4.1,4.8,581,40,6,34,0,0,24,26,30,27,26,30,Y,BOX 220,FALL CITY,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
FAMILY ACADEMY/ACADEMY NW,2014-15,182,86.8,13.2,0.5,9.9,2.7,0,13.2,13.2,13.2,13.2,13.2,13.2,158,24,1,18,5,0,24,24,24,24,24,24,Y,14629 20TH AVE SW,SEATTLE,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y,,,
FAMILY HOUSE ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,1220 CARROLL RD,KELSO,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y,,,
FARWELL ELEMENTARY SCHOOL,2014-15,634,94,6,0.8,4.9,0,0.3,3.9,3.9,3.3,3.5,4.1,0.9,596,38,5,31,0,2,25,25,21,22,26,6,Y,13005 N CRESTLINE,SPOKANE,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
FAWCETT ELEMENTARY SCHOOL,2014-15,446,93.9,4.7,0.4,4.3,0,0,3.6,3.6,3.6,3.6,2.7,4,419,21,2,19,0,0,16,16,16,16,12,18,Y,126 E 60TH ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
FEDERAL WAY HIGH SCHOOL,2014-15,1577,94.9,3.3,0.4,2.2,0.6,0,2.3,2.3,1.9,2,1.8,1,1497,52,7,35,10,0,36,36,30,31,28,16,Y,30611 16TH AV S,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
FEDERAL WAY PUBLIC ACADEMY,2014-15,305,75.1,4.6,1.3,3.3,0,0,0.7,0.7,1,0.7,1.6,2.3,229,14,4,10,0,0,2,2,3,2,5,7,Y,34620 9TH AV S,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43261,N,Y,,,
FELIDA ELEMENTARY SCHOOL,2014-15,653,92,7.2,1.4,5.8,0.2,0,4.6,4.6,5.4,5.1,4.7,5.7,601,47,9,38,1,0,30,30,35,33,31,37,Y,2700 NW 119TH ST,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
FERN HILL ELEMENTARY SCHOOL,2014-15,364,94.8,1.1,0,1.1,0,0,0.3,0.3,0.3,0.3,0.5,0.8,345,4,0,4,0,0,1,1,1,1,2,3,Y,8442 S PARK AVE,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
FERNDALE HIGH SCHOOL,2014-15,1481,93.7,5.7,1.1,4.2,0.6,0.2,3.8,3.1,3.3,2.7,3,0,1388,84,16,62,9,3,57,46,49,40,44,0,Y,5830 GOLDEN EAGLE DR,FERNDALE,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
FERNWOOD ELEMENTARY,2014-15,834,97.2,2.8,0.2,2.5,0,0,0.6,0.6,1,0.6,1.6,1.7,811,23,2,21,0,0,5,5,8,5,13,14,Y,3933 JEWELL RD,BOTHELL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
FERRIS HIGH SCHOOL,2014-15,1780,79.7,6.5,0.4,5.5,0.3,0.1,4.6,4.6,3.4,3.4,3.4,3.4,1418,115,8,98,6,1,82,82,61,60,60,61,Y,3020 E 37TH AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
FERRUCCI JUNIOR HIGH,2014-15,676,95.4,3.6,0.9,2.5,0.1,0,1.6,2.4,1.3,1.5,1.9,1.6,645,24,6,17,1,0,11,16,9,10,13,11,Y,3213 WILDWOOD PK DR,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43290,N,N,,,
FIDALGO ELEMENTARY,2014-15,440,86.6,8,0.9,6.8,0,0.2,3.6,3.6,3.2,4.8,3.6,6.8,381,35,4,30,0,1,16,16,14,21,16,30,Y,13590 GIBRALTER ROAD,ANACORTES,ANACORTES SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
FIFE HIGH SCHOOL,2014-15,771,96.9,3,0.1,2.3,0.5,0,2.2,1.8,2.1,1.7,2.5,0,747,23,1,18,4,0,17,14,16,13,19,0,Y,5616 20TH ST E,TACOMA,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43385,N,N,,,
FINCH ELEMENTARY,2014-15,520,75.8,10.4,1.3,6.2,1.2,0.2,4.6,4.6,5,4.6,4,10,394,54,7,32,6,1,24,24,26,24,21,52,Y,3717 N MILTON ST,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,,,
FINLEY ELEMENTARY,2014-15,392,87.5,2,0.5,1.5,0,0,1.8,1.8,2,1.5,0.8,2,343,8,2,6,0,0,7,7,8,6,3,8,Y,213504 E COUGAR RD,KENNEWICK,FINLEY SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N,,,
FINLEY MIDDLE SCHOOL,2014-15,210,89.5,2.4,1,1,0.5,0,1.9,1.9,1,0.5,0,1,188,5,2,2,1,0,4,4,2,1,0,2,Y,37208 S FINLEY RD,KENNEWICK,FINLEY SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,43259,N,Y,,,
FINN HILL JUNIOR HIGH SCHOOL,2014-15,599,78,6.2,0.7,5.2,0.7,0.2,3.5,3.3,3.7,3.3,3,2.3,467,37,4,31,4,1,21,20,22,20,18,14,Y,8040 NE 132ND ST,KIRKLAND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
FIR GROVE CHILDRENS CENTER,2014-15,71,54.9,4.2,0,4.2,0,0,4.2,2.8,4.2,4.2,2.8,1.4,39,3,0,3,0,0,3,2,3,3,2,1,Y,2920 FALK RD,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,43112,N,Y,,,
FIRCREST ELEMENTARY SCHOOL,2014-15,453,72.6,3.3,0.9,2.4,0,0,2.4,2.2,3.1,2.9,2.4,3.3,329,15,4,11,0,0,11,10,14,13,11,15,Y,12001 NE NINTH STREET,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
FIRGROVE ELEMENTARY,2014-15,545,97.8,1.7,1.1,0.6,0,0,1.5,0.9,1.5,1.3,1.5,1.7,533,9,6,3,0,0,8,5,8,7,8,9,Y,13918 MERIDIAN S,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
FIRM FOUNDATION CHRISTIAN SCHOOL,2014-15,368,85.6,14.4,0,13.6,0,0.8,11.7,11.7,11.7,10.9,10.1,12,315,53,0,50,0,3,43,43,43,40,37,44,Y,1919 SW 25TH AVE,BATTLE GROUND,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-12,Y,Y,,,
FIRST CREEK MIDDLE SCHOOL,2014-15,788,87.4,1.9,0.3,0.8,0.4,0.4,1.3,1.5,1.1,1.1,1.4,0.6,689,15,2,6,3,3,10,12,9,9,11,5,Y,1801 E. 56TH STREET,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
FIRST PLACE,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,172 20TH AVENUE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,,,
FIRST PLACE CHARTER SCHOOL,2014-15,82,73.2,0,0,0,0,0,14.6,14.6,12.2,12.2,7.3,13.4,60,0,0,0,0,0,12,12,10,10,6,11,Y,PO BOX 22536,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,,,
FIRST PRESBYTERIAN CHRISTIAN SCHOOL,2014-15,73,84.9,13.7,0,13.7,0,0,8.2,6.8,8.2,9.6,9.6,12.3,62,10,0,10,0,0,6,5,6,7,7,9,Y,318 S CEDAR,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-4,Y,N,,,
FIRST PRESBYTERIAN CHURCH SCHOOL,2014-15,75,76,9.3,0,9.3,0,0,9.3,9.3,9.3,9.3,9.3,9.3,57,7,0,7,0,0,7,7,7,7,7,7,Y,20 TACOMA AVENUE S,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,,,
FIRWOOD,2014-15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,8805 STEILACOOM BLVD SW,LAKEWOOD,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43263,N,Y,,,
FISHER ELEMENTARY SCHOOL,2014-15,378,88.6,4.2,2.6,1.6,0,0,1.9,2.1,2.1,1.9,1.6,3.7,335,16,10,6,0,0,7,8,8,7,6,14,Y,501 N 14TH ST,LYNDEN,LYNDEN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
FISHERS LANDING ELEMENTARY SCHOOL,2014-15,669,71.3,5.2,0.7,3.6,0,0.9,3.7,3.7,4.2,4.3,3.7,4.9,477,35,5,24,0,6,25,25,28,29,25,33,Y,3800 SE HIDDENBROOK DRIVE,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
FIVE ACRE SCHOOL,2014-15,60,48.3,18.3,0,18.3,0,0,8.3,8.3,8.3,13.3,11.7,15,29,11,0,11,0,0,5,5,5,8,7,9,Y,515 LOTZGESELL RD,SEQUIM,SEQUIM SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-6,Y,Y,,,
FIVE MILE PRAIRIE SCHOOL (MEAD EDUCATION PARTNERSHIP PROG),2014-15,415,72,24.1,1,21.9,1.2,0,22.4,22.4,19.3,18.8,18.1,18.6,299,100,4,91,5,0,93,93,80,78,75,77,Y,8621 N FIVE MILE ROAD,SPOKANE,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -12,Y,Y,,,
FOOTHILLS CHRISTIAN SCHOOL,2014-15,47,83,17,0,17,0,0,17,17,17,17,17,17,39,8,0,8,0,0,8,8,8,8,8,8,Y,1511 E BROADWAY,MT VERNON,MOUNT VERNON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,,,
FOOTHILLS ELEMENTARY,2014-15,515,93.4,6,1.7,4.3,0,0,3.3,3.7,3.1,3.3,3.1,4.5,481,31,9,22,0,0,17,19,16,17,16,23,Y,PO BOX 2210,BUCKLEY,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
FOOTHILLS MIDDLE SCHOOL,2014-15,609,98.2,1.6,0.8,1,0.2,0.2,1.1,1.1,1.1,1,1,0.2,598,10,5,6,1,1,7,7,7,6,6,1,Y,1410 MAPLE ST,WENATCHEE,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43259,N,Y,,,
FORDS PRAIRIE ELEMENTARY,2014-15,387,91.7,2.3,0.8,2.1,0,0,1.8,1.8,1.8,1.8,1.8,2.3,355,9,3,8,0,0,7,7,7,7,7,9,Y,1620 HARRISON AVENUE,CENTRALIA,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -3,Y,N,,,
FOREST PARK ADVENTIST SCHOOL,2014-15,26,96.2,3.8,0,3.8,0,0,3.8,3.8,3.8,3.8,3.8,3.8,25,1,0,1,0,0,1,1,1,1,1,1,Y,4120 FEDERAL AVE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,Y,Y,,,
FOREST RIDGE SCHOOL OF SACRED HEART,2014-15,390,97.7,0.5,0,0.5,0,0,0.5,0,0.3,0,0.3,0,381,2,0,2,0,0,2,0,1,0,1,0,Y,4800 139TH AVE SE,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43232,N,Y,,,
FOREST VIEW ELEMENTARY SCHOOL,2014-15,616,94.8,4.9,1,3.2,0.3,0.3,3.1,3.1,2.1,2.3,1.9,2.9,584,30,6,20,2,2,19,19,13,14,12,18,Y,5601 156TH ST. SE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
FORKS ALTERNATIVE SCHOOL,2014-15,30,73.3,6.7,3.3,3.3,0,0,3.3,0,3.3,0,0,0,22,2,1,1,0,0,1,0,1,0,0,0,Y,161 EAST E STREET,FORKS,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43355,N,N,,,
FORKS ELEMENTARY SCHOOL,2014-15,333,84.1,0.3,0.3,0,0,0,0,0.3,0,0,0,0.3,280,1,1,0,0,0,0,1,0,0,0,1,Y,301 SOUTH ELDERBERRY AVE,FORKS,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-5,Y,N,,,
FORKS INTERMEDIATE SCHOOL,2014-15,246,61.8,3.3,0.8,2.4,0,0,0.8,0.8,0.8,0.8,0.8,3.3,152,8,2,6,0,0,2,2,2,2,2,8,Y,121 SOUTH SPARTAN AVE,FORKS,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43259,N,Y,,,
FORKS JUNIOR AND SENIOR HIGH SCHOOL,2014-15,465,87.1,1.3,0.2,1.1,0,0,1.1,1.1,1.1,0.9,0.9,0,405,6,1,5,0,0,5,5,5,4,4,0,Y,191 SOUTH SPARTAN AVENUE,FORKS,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43355,N,N,,,
FORT COLVILLE ELEMENTARY,2014-15,361,83.9,11.4,1.4,8,1.1,1.1,7.8,7.5,8.6,8.9,6.6,8.9,303,41,5,29,4,4,28,27,31,32,24,32,Y,1212 E IVY AVE,COLVILLE,COLVILLE SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,43164,N,N,,,
FORT STEVENS ELEMENTARY,2014-15,557,90.5,4.5,1.1,3.2,0.4,0,2.9,2.9,3.1,3.2,3.2,3.9,504,25,6,18,2,0,16,16,17,18,18,22,Y,PO BOX 476,YELM,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,,
