School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
AMAZING GRACE CHRISTIAN SCHOOL,2014-15,222,86,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,Y,10056 RENTON AVE S,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,,,
AMBOY MIDDLE SCHOOL,2014-15,615,83.4,11.5,1.5,10.4,0.3,0,6,5.2,7,6.5,8,4.2,513,71,9,64,2,0,37,32,43,40,49,26,Y,22115 NE CHELATCHIE RD,AMBOY,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,43228,N,Y,,,
AMERICA'S CHILD MONTESSORI,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,14340 NE 21ST,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N,,,
AMISTAD ELEMENTARY SCHOOL,2014-15,586,98.3,0.7,0,0.7,0,0,0.3,0.3,0.5,0.5,0.3,0.7,576,4,0,4,0,0,2,2,3,3,2,4,Y,930 WEST 4TH AVENUE,KENNEWICK,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N,,,
ANACORTES HIGH SCHOOL,2014-15,808,87.5,10.3,1,9.2,0.1,0.2,5.7,4.7,4.8,4.3,5.8,0,707,83,8,74,1,2,46,38,39,35,47,0,Y,1600 20TH STREET,ANACORTES,ANACORTES SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
ANACORTES MIDDLE SCHOOL,2014-15,425,84.5,11.5,0.7,10.6,0.2,0.2,6.6,4.9,7.3,6.8,7.8,0,359,49,3,45,1,1,28,21,31,29,33,0,Y,2202 M AVENUE,ANACORTES,ANACORTES SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43289,N,N,,,
ANDERSON ISLAND ELEMENTARY,2014-15,36,86.1,2.8,0,2.8,0,0,2.8,2.8,0,0,2.8,2.8,31,1,0,1,0,0,1,1,0,0,1,1,Y,510 CHAMBERS,STEILACOOM,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ANGELO GIAUDRONE MIDDLE SCHOOL,2014-15,641,97.5,2.5,0.5,1.6,0.2,0.2,0.5,1.2,0.5,0.5,0.5,0.5,625,16,3,10,1,1,3,8,3,3,3,3,Y,4902 S ALASKA ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
ANNIE WRIGHT SCHOOL,2014-15,449,86.6,2.7,0,2.7,0,0,2.2,2.4,2.2,2.2,2.4,2.7,389,12,0,12,0,0,10,11,10,10,11,12,Y,827 TACOMA AVE N,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,,,
APOLLO ELEMENTARY,2014-15,599,93.7,5.5,2.3,2.8,0.3,0,2.7,3.2,3,2.7,4,4,561,33,14,17,2,0,16,19,18,16,24,24,Y,15025 SE 117TH ST,RENTON,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
